delta_bits,count
00001011100111011001011110010011111100101001100100111111101001110111010010101110100000110100111000011011100101010100010101101011101101010011000110101110000100100101000101011101110001101001010110000101011011010100000001001001000101011010111101110101110000010110000011110001011010100100101011010010110,1
00111011000010011011111011010011110011001000010100011101100001001110110101110000010111000011111010011011111011101111110101000000010101110110100111111000101100111111010100100000100001110100100001100101011111011010111111111110101011000011001100110001100000101110011100110001010000110000100001000010000,1
00110110101101010010010101101010111100001110100000111011111001110101101010001000001000000011111101101010100010101001011000111011101010000010010010001111110110001100001011010101011010100010101010011101100001110010110000010110000101101010101001111111110010111011010011111100100110101001101110011101000,1
00000110001000010000110000101010110011101111010000011001110001001100001101010110111111110100111111101010111100010010111000010000010010100111110011011001011110010110011010101000001010111111011101111101100101111100001110100001101011110011011000111011100010000011001100111100101100111101100100001101110,1
00001010100111011000010010010011110000101101110100111111111001010101011010000110110000110100111010001011101101010000010101111010101001000011100110111111001110100100000100011100110000101001010100111101011011111100000001000001000101111011111001111001110000000111000011110101011110100100101010010110110,1
00111010000010011010110111010011111111001100000100011101110001101100111101011000000111000011111000001011110011101011110101010001010001100110000111101001100110111110010101100001100000110100100011011101011111110010111111110110101011100010001000111101100000111111011100110101010100110000100000000110000,1
00111010100010011010110111010011111111001110000100011101110001101100111101011000001111000011111000001011110011101011110101010001010001100110000111101001100110111110010101000001100010100100100011011101011111110010111101110110101011100010001000111101100000111111011100110101010100110000100000000110000,1
00001010000111011000010010010011110000101111110100111111111001010101011010000110111000110100111010001011101101010000010101111010101001000011100110111111001110100100000100111100110010111001010100111101011011111100000011000001000101111011111001111001110000000111000011110101011110100100101010010110110,1
00000110001000010000110000101010110011101111010000011001110001001100001101010110111111110100111111101010111100010010110000010000010010100111110010011001011110000110011010101000101010111111011101111101100101111100001110000001101011110011011000111011100010000011001101111100101100111101100100001101110,1
00110110101101010010010101101010111100001110100000111011111001110101101010001000001000000011111101101010100010101001010000111011101010000010010011001111110110011100001011010101111010100010101010011101100001110010110000110110000101101010101001111111110010111011010010111100100110101001101110011101000,1
01111011000010011011111011010011000011111000010101011101100001001110110101110000010111000011111010011011111011101111110111000000010101110100100111111000101101111111010100100000100001110100100001100101011111011010101111111010101011000011001110110001000000101110011100110001010000110100100001000010000,1
01001011100111011001011110010011001100011001100101111111101001110111010010101110100000110100111000011011100101010100010111101011101101010001000110101110000101100101000101011101110001101001010110000101011011010100010001001101000101011010111111110101010000010110000011110001011010100000101011010010110,1
10010100011000010110100001101000110011100111011000001000110110001100101101010001111111010001000111101100011010001010101000010100010010101111111001010001111110011010111010100000001110110111001101111100100101111001101110110000111010110101001000001010101110101001111100001110101101111101010100001101101,1
01011011000010101011111011010111000011111001010111010101000001001010110101110000110111011001111010010011111011001110110111000000010101110101100111111000101001111111010100100010100001010101000101100011011110001000101111111000101011010011000110110001000001101110011100110001011000010110100001100010100,1
00110100101101010000010101101000111100000110100000101010111111110101101010001011001000000010101101101010000110101001011000111011101010001010011010000111010110001000101011011101011110100010101010011101100001110010110000010111010100101110111001011111110010011001100011001100100111101001101110011101000,1
