token_index,bit_start,bit_end,bits,value_big,value_little
0,0,5,11001,25,19
1,5,10,11111,31,31
2,10,15,10011,19,25
3,15,20,11000,24,3
4,20,25,11101,29,23
5,25,30,11101,29,23
6,30,35,11110,30,15
7,35,40,00111,7,28
8,40,45,00100,4,4
9,45,50,11000,24,3
10,50,55,10110,22,13
11,55,60,00001,1,16
12,60,65,10000,16,1
13,65,70,11101,29,23
14,70,75,01110,14,14
15,75,80,01101,13,22
16,80,85,10001,17,17
17,85,90,11000,24,3
18,90,95,00011,3,24
19,95,100,10010,18,9
20,100,105,01101,13,22
21,105,110,10010,18,9
22,110,115,00010,2,8
23,115,120,01101,13,22
24,120,125,00110,6,12
25,125,130,11111,31,31
26,130,135,11111,31,31
27,135,140,11100,28,7
28,140,145,00000,0,0
29,145,150,11000,24,3
30,150,155,10110,22,13
31,155,160,00001,1,16
32,160,165,10011,19,25
33,165,170,01110,14,14
34,170,175,00001,1,16
35,175,180,11000,24,3
36,180,185,10101,21,21
37,185,190,11111,31,31
38,190,195,00110,6,12
39,195,200,10110,22,13
40,200,205,01011,11,26
41,205,210,11011,27,27
42,210,215,10100,20,5
43,215,220,01010,10,10
44,220,225,11001,25,19
45,225,230,00000,0,0
46,230,235,11011,27,27
47,235,240,11101,29,23
48,240,245,11000,24,3
49,245,250,11100,28,7
50,250,255,00010,2,8
51,255,260,11100,28,7
52,260,265,10011,19,25
53,265,270,11111,31,31
54,270,275,10110,22,13
55,275,280,11110,30,15
56,280,285,01011,11,26
57,285,290,10011,19,25
58,290,295,10111,23,29
59,295,300,11111,31,31
