token_index,bit_start,bit_end,bits,value_big,value_little
0,0,8,11001111,207,243
1,8,16,11100111,231,231
2,16,24,10001110,142,113
3,24,32,11110111,247,239
4,32,40,11000111,199,227
5,40,48,00100110,38,100
6,48,56,00101100,44,52
7,56,64,00011000,24,24
8,64,72,01110101,117,174
9,72,80,11001101,205,179
10,80,88,10001110,142,113
11,88,96,00000111,7,224
12,96,104,00100110,38,100
13,104,112,11001000,200,19
14,112,120,01001101,77,178
15,120,128,00110111,55,236
16,128,136,11111111,255,255
17,136,144,11000000,192,3
18,144,152,01100010,98,70
19,152,160,11000001,193,131
20,160,168,10011011,155,217
21,168,176,10000011,131,193
22,176,184,10001010,138,81
23,184,192,11111100,252,63
24,192,200,11010110,214,107
25,200,208,01011110,94,122
26,208,216,11101000,232,23
27,216,224,10101100,172,53
28,224,232,10000011,131,193
29,232,240,01111101,125,190
30,240,248,11000111,199,227
31,248,256,00000101,5,160
32,256,264,11001001,201,147
33,264,272,11111110,254,127
34,272,280,11011110,222,123
35,280,288,01011100,92,58
36,288,296,11101111,239,247
