token_index,bit_start,bit_end,bits,value_big,value_little
0,0,6,110011,51,51
1,6,12,111110,62,31
2,12,18,011110,30,30
3,18,24,001110,14,28
4,24,30,111101,61,47
5,30,36,111100,60,15
6,36,42,011100,28,14
7,42,48,100110,38,25
8,48,54,001011,11,52
9,54,60,000001,1,32
10,60,66,100001,33,33
11,66,72,110101,53,43
12,72,78,110011,51,51
13,78,84,011000,24,6
14,84,90,111000,56,7
15,90,96,000111,7,56
16,96,102,001001,9,36
17,102,108,101100,44,13
18,108,114,100001,33,33
19,114,120,001101,13,44
20,120,126,001101,13,44
21,126,132,111111,63,63
22,132,138,111111,63,63
23,138,144,000000,0,0
24,144,150,011000,24,6
25,150,156,101100,44,13
26,156,162,000110,6,24
27,162,168,011011,27,54
28,168,174,100000,32,1
29,174,180,111000,56,7
30,180,186,101011,43,53
31,186,192,111100,60,15
32,192,198,110101,53,43
33,198,204,100101,37,41
34,204,210,111011,59,55
35,210,216,101000,40,5
36,216,222,101011,43,53
37,222,228,001000,8,4
38,228,234,001101,13,44
39,234,240,111101,61,47
40,240,246,110001,49,35
41,246,252,110000,48,3
42,252,258,010111,23,58
43,258,264,001001,9,36
44,264,270,111111,63,63
45,270,276,101101,45,45
46,276,282,111001,57,39
47,282,288,011100,28,14
48,288,294,111011,59,55
49,294,300,111111,63,63
