token_index,bit_start,bit_end,bits,value_big,value_little
0,7,16,111100111,487,463
1,16,25,100011101,285,369
2,25,34,111011111,479,503
3,34,43,000111001,57,312
4,43,52,001100010,98,140
5,52,61,110000011,387,387
6,61,70,000011101,29,368
7,70,79,011100110,230,206
8,79,88,110001110,398,227
9,88,97,000001110,14,224
10,97,106,010011011,155,434
11,106,115,001000010,66,132
12,115,124,011010011,211,406
13,124,133,011111111,255,510
14,133,142,111110000,496,31
15,142,151,000110001,49,280
16,151,160,011000001,193,262
17,160,169,100110111,311,473
18,169,178,000001110,14,224
19,178,187,001010111,87,468
20,187,196,111001101,461,359
21,196,205,011001011,203,422
22,205,214,110111010,442,187
23,214,223,001010110,86,212
24,223,232,010000011,131,386
25,232,241,011111011,251,446
26,241,250,100011100,284,113
27,250,259,000101110,46,232
28,259,268,010011111,159,498
29,268,277,111011011,475,439
30,277,286,110010111,407,467
31,286,295,001110111,119,476
