delta_bits,count
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010000010100111000001010000011110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101111011011001111001100010000111001011111100001110100100100110010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101011110100010011110010100110010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011100010101000111101110010111111010100111100000100110000101100000101000,1
00111010100110010010010111000011111101001110000100011001111001101100111011001000001111000011111000001011110010101011110101010001110000100110000111101001110110111100000101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000011010000110010000011110010101111110100111011110001010101011100010110111000110100111010001011101100010000010101111010001000000011100110111111011110100110010100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000011110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100110010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100110010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101100000101000,1
00111010100110010010110111000011111101001110000100011001111001101100111011001000001111000011111000001011110010101011110101010001110000100110000111101001110110111110000101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000011010000010010000011110010101111110100111011110001010101011100010110111000110100111010001011101100010000010101111010001000000011100110111111011110100100010100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100100010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101110000101000,1
00111010100010010010110111000011111101001110000100011001111001101100111011001000001111000011111000001011110010101011110101010001110000100110000111101001110110111110000101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000111010000010010000011110010101111110100111011110001010101011100010110111000110100111010001011101100010000010101111010001000000011100110111111011110100100010100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110100100100010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100000101110000101000,1
00111010100010010010110111000011111101001110000100011101111001101100111011001000001111000011111000001011110010101011110101010001110001100110000111101001110110111110000101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000111010000010010000011110010101111110100111111110001010101011100010110111000110100111010001011101100010000010101111010001001000011100110111111011110100100010100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110011000111000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110100100100010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100001001000101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100000101110000101000,1
00111010100010010010110111000011111101001110000100011101111001101100111011001000001111000011111000001011110010101011110101010001010001100110000111101001110110111110000101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000111010000010010000011110010101111110100111111110001010101011100010110111000110100111010001011101100010000010101111010101001000011100110111111011110100100010100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00000110000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010100111110110111001011110000110011000101000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110101100100010101110,1
00110110100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010000010010111101111110110011100001001010101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100001101110000101000,1
